,Azimuth_Right,Azimuth_Left,AOM_Right,AOM_Left,Elevation_Right,Elevation_Left,Xaxis_Right,Xaxis_Left,Yaxis_Right,Yaxis_Left,Zaxis_Right,Zaxis_Left,Pupil_Diameter_Right,Pupil_Diameter_Left,mode_status
52.133,2.7143782985756957,1.567147290035578,1.0,0.0,-29.788267600044346,-27.309890556952947,-0.0411,-0.0243,0.8669,0.8882,0.4968,0.4588,3.7,3.63,1.0
52.320,2.511124793343484,1.794766920133199,1.0,0.0,-32.628238396050456,-27.819812260442486,-0.0369,-0.0277,0.8414,0.884,0.5392,0.4667,3.66,3.44,1.0
52.430,1.77715198695428,5.667554989866986,1.0,0.0,-32.6903240958846,-36.09350872058795,-0.0261,-0.0798,0.8412,0.8041,0.5401,0.5891,3.34,3.4,1.0
52.555,1.7554092360843327,6.610676686338721,1.0,0.0,-32.275742559636036,-36.864658436371165,-0.0259,-0.0921,0.8451,0.7947,0.534,0.5999,3.25,3.33,1.0
52.711,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
52.852,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
52.992,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
53.102,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
53.242,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
53.383,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
53.539,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
53.648,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
53.773,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
53.961,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
54.117,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
54.258,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
54.367,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
54.492,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
54.601,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
54.773,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
54.882,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
55.023,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
55.132,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
55.257,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
55.398,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
55.523,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
55.632,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
55.788,2.256895198924454,-7.004690198271362,0.0,1.0,-33.33415534674922,-25.364701939148723,-0.0329,0.1102,0.8348,0.8969,0.5495,0.4284,3.96,3.56,1.0
56.007,2.256895198924454,-11.227580986646842,0.0,1.0,-33.33415534674922,-23.904398135251675,-0.0329,0.178,0.8348,0.8967,0.5495,0.4052,3.99,3.56,1.0
56.116,,-11.093360823989158,0.0,1.0,-33.33415534674922,-24.048882983157295,-0.0329,0.1757,0.8348,0.8961,0.5495,0.4075,4.05,3.56,1.0
56.241,,-1.548855041814889,0.0,1.0,-33.33415534674922,-27.381875034490466,-0.0329,0.024,0.8348,0.8876,0.5495,0.4599,4.04,3.56,1.0
56.351,,-1.083985218376938,0.0,1.0,-33.33415534674922,-28.026773744482988,-0.0329,0.0167,0.8348,0.8826,0.5495,0.4699,4.04,3.56,1.0
56.476,,-1.0081663560337546,0.0,1.0,-33.33415534674922,-28.247769910474343,-0.0329,0.0155,0.8348,0.8808,0.5495,0.4733,4.01,3.56,1.0
56.601,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
56.741,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
56.851,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
