,Azimuth_Right,Azimuth_Left,AOM_Right,AOM_Left,Elevation_Right,Elevation_Left,Xaxis_Right,Xaxis_Left,Yaxis_Right,Yaxis_Left,Zaxis_Right,Zaxis_Left,Pupil_Diameter_Right,Pupil_Diameter_Left,mode_status
96.623,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
96.732,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
96.857,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
96.998,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
97.138,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
97.247,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
97.372,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
97.482,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
97.638,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
97.747,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
97.872,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
98.013,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
98.138,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
98.278,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
98.388,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
98.513,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
98.669,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
98.794,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
98.950,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
99.075,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
99.216,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
99.341,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
99.466,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
99.606,13.735612490881437,17.434996311420846,1.0,0.0,-19.450193799540312,-42.01536640884669,-0.2239,-0.2226,0.916,0.7088,0.333,0.6693,4.32,4.19,1.0
99.716,13.199835615153049,,1.0,0.0,-20.70731501426152,-42.01536640884669,-0.2136,-0.2226,0.9107,0.7088,0.3536,0.6693,4.32,4.06,1.0
99.872,0.5063569407511324,14.596723899806989,1.0,0.0,-25.14964069493455,-38.87355868738787,-0.008,-0.1962,0.9052,0.7534,0.425,0.6276,3.78,4.21,1.0
99.981,0.031742810887010364,13.204600104284523,1.0,0.0,-25.517039871292884,-36.507174110744124,-0.0005,-0.1836,0.9025,0.7825,0.4308,0.5949,3.79,4.06,1.0
100.122,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
100.247,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
100.387,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
100.528,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
100.637,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
100.793,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
100.903,-14.282652369252048,-5.004923885808509,1.0,0.0,-24.77718709715682,-23.51464081532574,0.224,0.08,0.8799,0.9135,0.4191,0.399,3.91,4.02,1.0
101.028,-14.087977792027772,-4.7947131516244355,1.0,0.0,-24.035947957979396,-23.24188131613775,0.2223,0.0768,0.8858,0.9156,0.4073,0.3946,3.9,4.0,1.0
101.153,-13.969604648920125,-4.399661687274673,1.0,0.0,-23.428722832180398,-23.21646325992486,0.2215,0.0705,0.8904,0.9163,0.3976,0.3942,3.82,3.93,1.0
101.293,-23.497359240746334,-14.89953136269935,1.0,0.0,-18.760903832118093,-13.520824421709918,0.3775,0.25,0.8683,0.9396,0.3216,0.2338,4.13,3.62,1.0
101.403,-23.099357209254407,-14.992132338120726,1.0,0.0,-18.609268082382908,-13.43302593405925,0.3718,0.2516,0.8717,0.9395,0.3191,0.2323,4.13,3.6,1.0
101.543,7.5847847908206205,10.597480489606966,1.0,0.0,-3.0554410418241713,0.5615054767075034,-0.1318,-0.1839,0.9898,0.9829,0.0533,-0.0098,4.09,3.7,1.0
101.653,30.56164242139259,,1.0,0.0,-5.9696468686608775,0.5615054767075034,-0.5057,-0.1839,0.8564,0.9829,0.104,-0.0098,4.09,3.64,1.0
101.778,27.978362472115563,,1.0,0.0,-5.480026925555109,0.5615054767075034,-0.467,-0.1839,0.8791,0.9829,0.0955,-0.0098,4.09,3.5,1.0
101.887,27.57411046220733,,1.0,0.0,-5.439935729769422,0.5615054767075034,-0.4608,-0.1839,0.8824,0.9829,0.0948,-0.0098,4.09,3.4,1.0
102.028,28.14984468703601,,1.0,0.0,-3.841849835566363,0.5615054767075034,-0.4707,-0.1839,0.8797,0.9829,0.067,-0.0098,4.09,3.34,1.0
102.168,28.130387434402593,,0.0,1.0,-5.497496128479605,0.5615054767075034,-0.4693,-0.1839,0.8778,0.9829,0.0958,-0.0098,4.09,3.31,1.0
102.293,28.043738428725604,,0.0,1.0,-4.812648834463765,0.5615054767075034,-0.4685,-0.1839,0.8795,0.9829,0.0839,-0.0098,4.09,3.36,1.0
102.418,27.24634648603832,,0.0,1.0,-4.674732076496869,0.5615054767075034,-0.4563,-0.1839,0.8861,0.9829,0.0815,-0.0098,4.09,3.27,1.0
102.559,1.2611118120964022,6.232088017372675,0.0,1.0,-34.673799524562774,-30.642902989462165,-0.0181,-0.0934,0.8222,0.8553,0.5689,0.5097,3.57,3.44,1.0
103.262,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
103.387,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
103.527,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
103.637,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
103.746,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
103.887,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
104.058,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
104.183,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
104.324,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
104.418,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
104.543,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
104.730,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
104.855,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
104.964,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
105.105,0,0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,1.0
105.230,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
105.371,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
105.480,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
105.605,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
105.714,-19.629443422792207,-17.721792349315805,1.0,0.0,-25.70239939035225,-20.769945255359612,0.3027,0.2846,0.8487,0.8906,0.4337,0.3546,4.17,3.92,1.0
105.855,-18.805429778387307,-18.131062027391593,1.0,0.0,-26.49907553263483,-20.597374406737814,0.2885,0.2913,0.8472,0.8896,0.4462,0.3518,4.19,4.03,1.0
105.995,-19.673793037489503,-17.606308815155955,1.0,0.0,-27.399698339234643,-19.901972529330205,0.2989,0.2844,0.836,0.8962,0.4602,0.3404,4.14,3.97,1.0
106.120,-19.20452289977473,-17.425266306716594,1.0,0.0,-27.721593633544003,-19.883646322587513,0.2912,0.2816,0.836,0.8972,0.4652,0.3401,4.12,3.94,1.0
106.245,-19.19505748813218,-17.38591803923677,1.0,0.0,-28.40509756518029,-19.420914107693733,0.2892,0.2818,0.8307,0.9,0.4757,0.3325,4.13,3.91,1.0
106.370,-4.393776261794244,4.399728457375943,1.0,0.0,-26.936075451854755,-30.790869137670278,0.0683,-0.0659,0.8889,0.8565,0.453,0.5119,4.06,3.88,1.0
107.089,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
107.198,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
107.323,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
107.448,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
107.573,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
107.682,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
107.823,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
107.964,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
108.089,0,0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
108.214,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
109.057,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
109.182,-10.727964749246269,1.3577582293083026,0.0,0.0,-30.551502073537012,-21.807565737132354,0.1603,-0.022,0.8461,0.9282,0.5083,0.3715,4.08,4.07,1.0
109.323,-12.886530558781203,1.3460801570385286,0.0,0.0,-30.88371380345213,-21.210749719117242,0.1914,-0.0219,0.8366,0.932,0.5133,0.3618,4.12,4.09,1.0
109.448,-7.734522925576982,10.89495694516944,0.0,0.0,-24.574486797826538,-23.372101628207673,0.1224,-0.1735,0.9012,0.9014,0.4159,0.3967,4.01,4.01,1.0
109.588,-6.43889536076216,15.064172811830062,0.0,0.0,-23.55859171252251,-20.46291008001742,0.1028,-0.2435,0.9109,0.9047,0.3997,0.3496,4.18,4.08,1.0
109.713,-1.4123553156118902,21.213457433854202,0.0,0.0,-16.762506743546933,-16.075054718902624,0.0236,-0.3477,0.9572,0.8958,0.2884,0.2769,4.18,4.1,1.0
109.854,-3.092133239476297,22.070287495975762,0.0,0.0,-15.414870332932292,-15.94367051473165,0.052,-0.3613,0.9626,0.8911,0.2658,0.2747,4.12,3.95,1.0
109.979,-4.7104925452387505,22.73893331261445,0.0,0.0,-14.791306229037954,-15.76513924096512,0.0794,-0.372,0.9636,0.8876,0.2553,0.2717,4.02,3.85,1.0
110.119,-30.782243633711346,-5.073731592563476,0.0,0.0,7.8394836173211155,6.8692381670179525,0.507,0.0878,0.8511,0.9889,-0.1364,-0.1196,3.72,3.36,1.0
110.276,,-19.17066934667163,0.0,0.0,7.8394836173211155,9.061393979122352,0.507,0.3243,0.8511,0.9328,-0.1364,-0.1575,3.58,3.36,1.0
110.479,,-21.296163095235485,0.0,0.0,7.8394836173211155,9.00979681495913,0.507,0.3587,0.8511,0.9202,-0.1364,-0.1566,3.53,3.36,1.0
110.588,,-21.108253712170253,0.0,0.0,7.8394836173211155,8.679262923691077,0.507,0.356,0.8511,0.9222,-0.1364,-0.1509,3.49,3.36,1.0
110.697,,-20.877623968171434,0.0,0.0,7.8394836173211155,7.880246115621212,0.507,0.353,0.8511,0.9255,-0.1364,-0.1371,3.44,3.36,1.0
110.807,-23.856007020586645,6.757371073188011,0.0,0.0,-14.75584976773387,-9.654020157138792,0.3911,-0.116,0.8844,0.979,0.2547,0.1677,3.63,3.31,1.0
111.463,-25.537491833296727,-2.987037410699358,0.0,0.0,-0.5041917357882908,6.257618104918411,0.4311,0.0518,0.9023,0.9927,0.0088,-0.109,3.39,3.12,1.0
111.572,-33.056128418382656,-1.8329316660156536,0.0,0.0,3.8933897679809095,6.159806282240496,0.5442,0.0318,0.8362,0.9937,-0.0679,-0.1073,3.41,3.15,1.0
111.682,-31.61351010047725,-0.19494135759688902,0.0,0.0,1.5127959523396788,2.160526858869845,0.524,0.0034,0.8513,0.9993,-0.0264,-0.0377,3.46,3.22,1.0
111.791,-27.42195344179912,0.3618995493998227,0.0,0.0,-5.249997894866869,-4.100231620157171,0.4586,-0.0063,0.8839,0.9974,0.0915,0.0715,3.54,3.27,1.0
111.891,-28.234100502411387,15.636275958602951,0.0,0.0,-12.028307110594424,-3.617666055449753,0.4627,-0.269,0.8617,0.9611,0.2084,0.0631,3.79,3.4,1.0
112.001,-12.789244108987631,27.19230525722284,0.0,0.0,-4.122984783329141,-4.5715695662221325,0.2208,-0.4555,0.9727,0.8866,0.0719,0.0797,3.8,3.45,1.0
112.110,-11.915250068062562,27.240932178487796,0.0,0.0,-2.946183071697981,-4.3816229534778905,0.2062,-0.4564,0.9772,0.8865,0.0514,0.0764,3.84,3.65,1.0
112.219,-8.476932718847607,27.22778664377573,0.0,0.0,-0.5443349654663043,-4.0426246491076645,0.1474,-0.4564,0.989,0.887,0.0095,0.0705,3.83,3.78,1.0
112.329,-6.489544195089167,24.135062589675798,0.0,0.0,-1.1631698849261036,-3.744227613891608,0.113,-0.408,0.9934,0.9106,0.0203,0.0653,3.97,3.84,1.0
112.438,-4.985144889457956,23.813207142965283,0.0,0.0,-2.659597204487874,-3.956492857274399,0.0868,-0.4028,0.9951,0.9127,0.0464,0.069,4.02,3.87,1.0
112.547,-4.978195907796348,21.664935372912865,0.0,0.0,-3.6636663738321524,-3.698238390861784,0.0866,-0.3684,0.9942,0.9274,0.0639,0.0645,4.09,3.88,1.0
112.657,-4.770316075488907,14.316440053765007,0.0,0.0,-3.5375291748500635,4.565434058759764,0.083,-0.2465,0.9946,0.9659,0.0617,-0.0796,3.94,3.95,1.0
112.766,-4.513836408823082,15.85974493646792,0.0,0.0,-8.661945830079075,7.065487399778427,0.0778,-0.2712,0.9855,0.9546,0.1506,-0.123,3.18,3.86,1.0
112.875,-12.246746145440525,,0.0,0.0,-19.05082174900498,7.065487399778427,0.2005,-0.2712,0.9237,0.9546,0.3264,-0.123,3.18,4.07,1.0
113.094,-13.238434890642225,22.172410150966783,0.0,0.0,-19.24510302687529,-13.555573271095776,0.2162,-0.3669,0.919,0.9003,0.3296,0.2344,4.12,4.17,1.0
113.313,-7.701001129622455,,0.0,0.0,-16.01593094056311,-13.555573271095776,0.1288,-0.3669,0.9525,0.9003,0.2759,0.2344,4.12,4.39,1.0
113.422,-9.385567699711018,,0.0,0.0,-19.093600118668125,-13.555573271095776,0.1541,-0.3669,0.9323,0.9003,0.3271,0.2344,4.12,4.34,1.0
113.531,-6.812356939370346,6.495627310382616,0.0,0.0,-18.173898017198052,-14.352800841753886,0.1127,-0.1096,0.9434,0.9626,0.3119,0.2479,4.47,4.37,1.0
113.641,-4.520314956918355,4.617734499511457,0.0,0.0,-18.125909406646986,-12.815122414342385,0.0749,-0.0785,0.9474,0.9719,0.3111,0.2218,4.47,4.17,1.0
113.750,,5.208062020567482,0.0,0.0,-18.125909406646986,-8.395195146337324,0.0749,-0.0898,0.9474,0.9852,0.3111,0.146,4.36,4.17,1.0
113.860,-9.001034630131826,-1.5215418786293355,0.0,0.0,-21.063184293252366,-23.234159754804868,0.146,0.0244,0.9217,0.9186,0.3594,0.3945,4.33,4.29,1.0
113.969,-7.08463543225443,0.03207690825610143,0.0,0.0,-26.15626331625569,-26.736721722553167,0.1107,-0.0005,0.8907,0.8931,0.4408,0.4499,4.21,4.11,1.0
114.531,-11.315029963287273,-6.183087317500082,0.0,0.0,-28.140217784258812,-25.017933068119284,0.173,0.0976,0.8646,0.9009,0.4716,0.4229,4.15,4.02,1.0
114.641,-9.948767431400952,-11.643923694114434,0.0,0.0,-31.57260990453564,-26.065743917237317,0.1472,0.1813,0.8392,0.8798,0.5236,0.4394,4.13,3.96,1.0
114.750,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
114.859,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
114.969,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
115.078,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
115.187,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
115.297,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
115.406,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
115.515,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
115.625,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0
115.734,-30.658181938614952,-12.769892715678921,0.0,0.0,28.99352000781748,-20.236009978576398,0.446,0.2074,0.7524,0.9151,-0.4847,0.3459,4.32,3.69,1.0
115.843,-29.489649853842188,-12.70000314456746,0.0,0.0,38.002539039964134,-19.90815953822054,0.3879,0.2067,0.6859,0.9172,-0.6157,0.3405,4.33,3.49,1.0
115.953,-28.453275688571907,-14.199831559713445,0.0,0.0,39.56632192028562,-19.46209817857258,0.3673,0.2313,0.6778,0.9141,-0.637,0.3332,4.35,3.57,1.0
116.062,-9.828005384080143,-2.684915035615319,0.0,0.0,-18.57788323092314,-19.70636615230608,0.1618,0.0441,0.934,0.9404,0.3186,0.3372,4.06,3.92,1.0
116.171,17.236312108262027,,0.0,0.0,-28.374173610252033,-19.70636615230608,-0.2607,0.0441,0.8403,0.9404,0.4752,0.3372,4.06,3.73,1.0
116.281,17.401805909441364,,0.0,0.0,-24.70238081521183,-19.70636615230608,-0.2717,0.0441,0.8669,0.9404,0.4179,0.3372,4.06,3.78,1.0
116.390,18.554204888133,18.404017842992417,0.0,0.0,-22.066951252588236,-20.41315980363357,-0.2949,-0.2959,0.8786,0.8893,0.3757,0.3488,4.42,3.91,1.0
116.500,19.656734668348577,18.115296902846268,0.0,0.0,-22.047891026282134,-20.721192753295803,-0.3118,-0.2908,0.8729,0.8889,0.3754,0.3538,4.45,3.96,1.0
116.609,9.169323918852825,13.613909190899065,0.0,0.0,-14.618968481025375,-17.40923120767116,-0.1542,-0.2246,0.9553,0.9274,0.2524,0.2992,4.52,4.49,1.0
116.718,5.955566963158077,7.623378034637625,0.0,0.0,-10.85933455227169,-8.80074818384708,-0.1019,-0.1311,0.9768,0.9795,0.1884,0.153,4.59,4.59,1.0
116.828,4.505543392222194,5.725575891011104,0.0,0.0,-11.793936559746117,-8.377759607073667,-0.0769,-0.0987,0.9759,0.9844,0.2044,0.1457,4.73,4.57,1.0
116.937,2.4780510816429313,7.111436948520534,0.0,0.0,-13.161969905815637,-6.073491167965378,-0.0421,-0.1231,0.9728,0.9867,0.2277,0.1058,4.74,4.5,1.0
117.046,-4.956973185943568,-0.9786309582079156,0.0,0.0,-17.73441518828164,-5.537592724507095,0.0823,0.017,0.9489,0.9952,0.3046,0.0965,4.31,4.48,1.0
117.156,-3.923367182675932,-1.2887898130467335,0.0,0.0,-18.463523535464507,-14.241285579688213,0.0649,0.0218,0.9463,0.969,0.3167,0.246,4.59,4.62,1.0
117.265,-3.425462530572787,-1.3268493686121872,0.0,0.0,-17.76996716409353,-14.678830345200117,0.0569,0.0224,0.9506,0.9671,0.3052,0.2534,4.56,4.63,1.0
117.374,-3.5384453086112586,-1.2739514386002924,0.0,0.0,-17.691783134031322,-14.755533469377259,0.0588,0.0215,0.9509,0.9668,0.3039,0.2547,4.56,4.6,1.0
117.484,-3.332978066104829,-1.2240571366333484,0.0,0.0,-17.325745394436364,-15.360340547571413,0.0555,0.0206,0.953,0.9641,0.2978,0.2649,4.59,4.65,1.0
117.593,-3.299281698992516,-1.6733066264152967,0.0,0.0,-20.518109886590192,-15.788622356612496,0.0539,0.0281,0.935,0.9619,0.3505,0.2721,4.65,4.49,1.0
117.702,,-14.167055522631188,0.0,0.0,-20.518109886590192,-8.899524429376205,0.0539,0.2418,0.935,0.9579,0.3505,0.1547,4.71,4.49,1.0
117.812,,-14.036243467926468,0.0,0.0,-20.518109886590192,-9.654152854828878,0.0539,0.2391,0.935,0.9564,0.3505,0.1677,4.71,4.49,1.0
117.921,,-13.948833635892044,0.0,0.0,-20.518109886590192,-9.729199116243699,0.0539,0.2376,0.935,0.9566,0.3505,0.169,4.7,4.49,1.0
118.030,,-13.720006022017728,0.0,0.0,-20.518109886590192,-8.609712470497936,0.0539,0.2345,0.935,0.9605,0.3505,0.1497,4.64,4.49,1.0
118.140,,-14.127572677651145,0.0,0.0,-20.518109886590192,-8.493823954539733,0.0539,0.2414,0.935,0.9591,0.3505,0.1477,4.72,4.49,1.0
118.249,,-13.953073370326933,0.0,0.0,-20.518109886590192,-9.654608980907785,0.0539,0.2377,0.935,0.9567,0.3505,0.1677,4.8,4.49,1.0
118.358,,-14.644623888398144,0.0,0.0,-20.518109886590192,-10.113357479966874,0.0539,0.2489,0.935,0.9525,0.3505,0.1756,4.85,4.49,1.0
118.468,-9.61606809269189,-15.164828150444734,0.0,0.0,-14.525399764121053,-9.881475849064739,0.1617,0.2577,0.9544,0.9508,0.2508,0.1716,4.83,4.43,1.0
118.577,-10.37749986299022,-15.663670444810606,0.0,0.0,-16.40907241348458,-8.556894307098757,0.1728,0.267,0.9436,0.9522,0.2825,0.1488,4.82,4.58,1.0
118.686,,-15.904882296006903,0.0,0.0,-16.40907241348458,-7.799277659760172,0.1728,0.2715,0.9436,0.9528,0.2825,0.1357,4.8,4.58,1.0
118.796,,-15.930301339281655,0.0,0.0,-16.40907241348458,-7.856684084554515,0.1728,0.2719,0.9436,0.9526,0.2825,0.1367,4.8,4.58,1.0
118.905,-12.050206145306873,-14.050207149535638,0.0,0.0,-11.736107489436383,-5.6583034143306055,0.2044,0.2416,0.9575,0.9654,0.2034,0.0986,4.62,4.56,1.0
119.015,2.3953579514845984,-0.18966333812451808,0.0,0.0,-8.82968145244109,-4.542371225460445,-0.0413,0.0033,0.9873,0.9969,0.1535,0.0792,4.39,4.43,1.0
119.124,5.547843818729248,7.2983488297199415,0.0,0.0,-19.554502597689183,-15.532909454620118,-0.0911,-0.1224,0.9379,0.9557,0.3347,0.2678,4.72,4.62,1.0
119.233,2.556915523305733,3.9508186785084263,0.0,0.0,-20.817629334994567,-19.111800950520898,-0.0417,-0.0651,0.9338,0.9426,0.3554,0.3274,4.84,4.62,1.0
119.343,-0.32053248553002334,0.9718505543786478,0.0,0.0,-21.64150723733443,-20.376967609848737,0.0052,-0.0159,0.9295,0.9373,0.3688,0.3482,4.82,4.6,1.0
119.452,0.2497195796132985,0.47915802049709555,0.0,0.0,-19.82285506701721,-11.320783921251724,-0.0041,-0.0082,0.9407,0.9805,0.3391,0.1963,4.28,4.5,1.0
119.561,-4.0284345176116005,-0.7423134933949029,0.0,0.0,-19.559628619787507,-11.39103707243212,0.0662,0.0127,0.94,0.9802,0.3348,0.1975,4.54,4.41,1.0
119.671,-5.663655212190406,-2.651313887213277,0.0,0.0,-22.613115796430616,-20.941665702825286,0.0911,0.0432,0.9186,0.9329,0.3845,0.3574,4.71,4.35,1.0
119.780,-4.768331786994963,-1.38226926091059,0.0,0.0,-24.072200559895663,-20.46874863004457,0.0759,0.0226,0.9099,0.9366,0.4079,0.3497,4.54,4.42,1.0
119.889,-1.8948084067806548,2.6557850844888264,0.0,0.0,-21.333079109895777,-12.145376226473832,0.0308,-0.0453,0.931,0.9766,0.3638,0.2104,4.07,4.17,1.0
119.999,10.053291334786152,,0.0,0.0,-5.025350822399551,-12.145376226473832,-0.1739,-0.0453,0.9809,0.9766,0.0876,0.2104,4.07,4.24,1.0
120.108,-7.4617849915696866,-3.7404062416324138,0.0,0.0,-19.39004763170345,-17.847427931511497,0.1225,0.0621,0.9353,0.9499,0.332,0.3065,4.85,4.45,1.0
120.217,-7.042714410740771,-3.241279525040227,0.0,0.0,-19.743215432134257,-16.89959543693338,0.1154,0.0541,0.9341,0.9553,0.3378,0.2907,4.9,4.53,1.0
120.327,-8.026070186113856,-2.5287509056465467,0.0,0.0,-20.82451901568105,-16.517039486305197,0.1305,0.0423,0.9255,0.9578,0.3555,0.2843,4.79,4.59,1.0
120.436,-6.7292681316304765,-1.5121521724492055,0.0,0.0,-21.53631398174004,-16.528020756431406,0.109,0.0253,0.9238,0.9584,0.3671,0.2845,4.71,4.6,1.0
120.545,-10.043913514624151,-3.2909740642553373,0.0,0.0,-21.112022500399554,-18.306927122673034,0.1627,0.0545,0.9186,0.9478,0.3602,0.3141,4.92,4.66,1.0
120.655,-10.506795895823586,-3.7005131051669053,0.0,0.0,-22.142314184845603,-18.239631276946778,0.1689,0.0613,0.9107,0.9478,0.3769,0.313,4.93,4.64,1.0
120.764,-10.935758289268094,-3.149274701719335,0.0,0.0,-22.79214441818542,-18.8311904532806,0.1749,0.052,0.9052,0.9451,0.3874,0.3228,5.0,4.65,1.0
120.873,-10.110738663908322,-1.4555975071218654,0.0,0.0,-24.38029330514098,-16.947147913498622,0.1599,0.0243,0.8967,0.9563,0.4128,0.2915,4.79,4.66,1.0
120.983,-8.151328908529152,0.005995791053166499,0.0,0.0,-23.62842220488969,-17.139377011351343,0.1299,-0.0001,0.9069,0.9556,0.4008,0.2947,4.83,4.7,1.0
121.092,-6.905263739339276,0.0898991618640963,0.0,0.0,-22.345968977389365,-17.066904589412832,0.1112,-0.0015,0.9182,0.956,0.3802,0.2935,4.83,4.67,1.0
121.202,-8.640395728846883,-0.6686513302738604,0.0,0.0,-22.698963513912286,-17.969909807133238,0.1386,0.0111,0.9121,0.9511,0.3859,0.3085,4.82,4.73,1.0
121.311,-9.494454360253457,-1.0135516936549038,0.0,0.0,-24.669935774317953,-18.2401989561151,0.1499,0.0168,0.8963,0.9496,0.4174,0.313,4.84,4.73,1.0
121.420,11.289082482395784,20.112588289075475,0.0,0.0,-14.046403139854307,-12.749668023168564,-0.1899,-0.3354,0.9513,0.9159,0.2427,0.2207,4.9,4.84,1.0
121.530,12.114517648573184,18.737273946284887,0.0,0.0,-13.579783932303808,-12.33959534856899,-0.204,-0.3138,0.9504,0.9251,0.2348,0.2137,5.08,4.83,1.0
121.639,12.070435887388001,17.534972783533988,0.0,0.0,-13.886685626869168,-11.91709023147596,-0.203,-0.2948,0.9493,0.933,0.24,0.2065,5.09,4.85,1.0
121.748,11.367699613981259,16.304141926350113,0.0,0.0,-13.444525341226523,-11.285927150563909,-0.1917,-0.2753,0.9535,0.9412,0.2325,0.1957,5.04,4.81,1.0
121.858,11.0258578556125,16.256228579699112,0.0,0.0,-13.326649935476265,-11.524813927980803,-0.1861,-0.2743,0.9551,0.9407,0.2305,0.1998,5.05,4.78,1.0
121.967,10.044331069822363,16.42922938146114,0.0,0.0,-14.577720034330047,-12.13458069871406,-0.1688,-0.2765,0.953,0.9377,0.2517,0.2102,5.06,4.77,1.0
122.076,8.044553781866057,15.839040566176479,0.0,0.0,-14.951983802783843,-12.368639459450124,-0.1352,-0.2666,0.9566,0.9397,0.258,0.2142,5.05,4.63,1.0
122.186,7.3453920927723715,14.787135578687526,0.0,0.0,-13.921384208447327,-12.263277426933229,-0.1241,-0.2494,0.9627,0.9448,0.2406,0.2124,5.03,4.66,1.0
122.295,7.759219865384054,14.410543623108552,0.0,0.0,-17.296233870850024,-12.462673886259,-0.1289,-0.243,0.946,0.9457,0.2973,0.2158,5.03,4.76,1.0
122.404,7.235416987506909,17.254725291117794,0.0,0.0,-16.44454463393829,-14.713967657334575,-0.1208,-0.2869,0.9515,0.9237,0.2831,0.254,4.98,4.91,1.0
122.514,7.382734635140238,14.401856746668159,0.0,0.0,-17.427345585129355,-11.303013596578415,-0.1226,-0.2439,0.9462,0.9498,0.2995,0.196,4.96,4.86,1.0
122.623,9.980224927010411,13.124072099486753,0.0,0.0,-16.92408710932096,13.602864123378723,-0.1658,-0.2207,0.9422,0.9466,0.2911,-0.2352,3.82,4.43,1.0
122.732,,,0.0,0.0,-16.92408710932096,13.602864123378723,-0.1658,-0.2207,0.9422,0.9466,0.2911,-0.2352,3.82,4.43,1.0
